,date,N
0,20130625.0,13.0
1,20130626.0,
2,20130627.0,
3,20130628.0,
4,20130701.0,
5,20130702.0,
6,20130705.0,
7,20130708.0,
8,20130709.0,
9,20130710.0,
10,20130711.0,
11,20130712.0,
12,20130715.0,
13,20130716.0,
14,20130717.0,
15,20130718.0,
16,20130719.0,
17,20130722.0,
18,20130723.0,
19,20130724.0,
20,20130725.0,
21,20130726.0,
22,20130729.0,
23,20130730.0,
24,20130731.0,
25,20130801.0,
26,20130802.0,
27,20130805.0,
28,20130806.0,
29,20130807.0,
30,20130808.0,
31,20130809.0,
32,20130812.0,
33,20130813.0,
34,20130814.0,
35,20130815.0,
36,20130816.0,
37,20130819.0,
38,20130820.0,
39,20130821.0,
